power.draw [W]
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.63
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.84
17.99
17.99
17.99
17.99
17.99
17.99
17.99
17.99
17.99
25.18
25.18
25.18
25.18
25.18
25.18
25.18
25.18
25.18
25.18
35.61
35.61
35.61
35.61
35.61
35.61
35.61
35.61
35.61
35.61
37.90
37.90
37.90
37.90
37.90
37.90
37.90
37.90
37.90
37.90
39.59
39.59
39.59
39.59
39.59
39.59
39.59
39.59
39.59
39.59
41.05
41.05
41.05
41.05
41.05
41.05
41.05
41.05
41.05
42.33
42.33
42.33
42.33
42.33
42.33
42.33
42.33
42.33
42.33
43.46
43.46
43.46
43.46
43.46
43.46
43.46
43.46
43.46
43.46
44.47
44.47
44.47
44.47
44.47
44.47
44.47
44.47
44.47
45.36
45.36
45.36
45.36
45.36
45.36
45.36
45.36
45.36
45.36
73.80
73.80
73.80
73.80
73.80
73.80
73.80
73.80
73.80
73.15
73.15
73.15
73.15
73.15
73.15
73.15
73.15
73.15
73.15
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
69.97
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
55.50
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
40.70
23.57
23.57
23.57
23.57
