y using both took: 242968
y using both took: 242369
y using both took: 244107
y using both took: 244511
y using both took: 241411
8192 10 100 0
y using -tc- took: 1302387
y using -tc- took: 1302844
y using -tc- took: 1294758
y using -tc- took: 1296258
y using -tc- took: 1291975
y using -tc- took: 1299706
y using -tc- took: 1299932
y using -tc- took: 1304120
y using -tc- took: 1305155
y using -tc- took: 1300607
y using -tc- took: 1306002
8192 10 100 1
y using cuda took: 218027
y using cuda took: 219141
y using cuda took: 218468
y using cuda took: 227696
y using cuda took: 226068
y using cuda took: 227449
y using cuda took: 219892
y using cuda took: 225944
y using cuda took: 225960
y using cuda took: 224370
y using cuda took: 218842
8192 10 100 -128
y using both took: 532490
y using both took: 535691
y using both took: 533291
y using both took: 531681
y using both took: 533457
y using both took: 535878
y using both took: 530419
y using both took: 532228
y using both took: 528509
y using both took: 527208
y using both took: 535896
8192 10 100 -32
y using both took: 517012
y using both took: 523684
y using both took: 533065
y using both took: 534889
y using both took: 523924
y using both took: 535431
y using both took: 540837
y using both took: 530016
y using both took: 528269
y using both took: 529365
y using both took: 531491
8192 10 100 2
y using both took: 535211
y using both took: 532754
y using both took: 543426
y using both took: 540634
y using both took: 532028
y using both took: 535042
y using both took: 540069
y using both took: 537747
y using both took: 541330
y using both took: 531209
y using both took: 537721
8192 10 100 32
y using both took: 1378651
y using both took: 1379104
y using both took: 1369361
y using both took: 1379783
y using both took: 1376311
y using both took: 1375125
y using both took: 1429046
y using both took: 1375371
y using both took: 1379577
y using both took: 1377490
y using both took: 1380485
8192 10 100 128
y using both took: 1406733
y using both took: 1406475
y using both took: 1411284
y using both took: 1412816
y using both took: 1410159
y using both took: 1405979
y using both took: 1411495
y using both took: 1408405
y using both took: 1409803
y using both took: 1410771
y using both took: 1406408
