512 10 10 0
C using -tc- took: 1326
C using -tc- took: 1327
C using -tc- took: 1328
C using -tc- took: 1336
C using -tc- took: 1328
C using -tc- took: 1328
C using -tc- took: 1329
C using -tc- took: 1329
C using -tc- took: 1330
C using -tc- took: 1326
C using -tc- took: 1327
1024 10 10 0
C using -tc- took: 2570
C using -tc- took: 2568
C using -tc- took: 2569
C using -tc- took: 2569
C using -tc- took: 2577
C using -tc- took: 2569
C using -tc- took: 2567
C using -tc- took: 2565
C using -tc- took: 2569
C using -tc- took: 2572
C using -tc- took: 2568
2048 10 10 0
C using -tc- took: 13295
C using -tc- took: 13314
C using -tc- took: 13258
C using -tc- took: 13262
C using -tc- took: 13284
C using -tc- took: 13271
C using -tc- took: 13293
C using -tc- took: 13274
C using -tc- took: 13300
C using -tc- took: 13271
C using -tc- took: 13278
4096 10 10 0
C using -tc- took: 104902
C using -tc- took: 100326
C using -tc- took: 100337
C using -tc- took: 100370
C using -tc- took: 100330
C using -tc- took: 100382
C using -tc- took: 100280
C using -tc- took: 100294
C using -tc- took: 100305
C using -tc- took: 100263
C using -tc- took: 100371
8192 10 10 0
C using -tc- took: 782892
C using -tc- took: 783464
C using -tc- took: 784426
C using -tc- took: 783745
C using -tc- took: 782914
C using -tc- took: 784543
C using -tc- took: 783429
C using -tc- took: 784160
C using -tc- took: 783179
C using -tc- took: 783946
C using -tc- took: 784306
