512 10 10 1
y using cuda took: 579
y using cuda took: 579
y using cuda took: 580
y using cuda took: 579
y using cuda took: 579
y using cuda took: 579
y using cuda took: 579
y using cuda took: 580
y using cuda took: 580
y using cuda took: 579
y using cuda took: 583
1024 10 10 1
y using cuda took: 1112
y using cuda took: 1112
y using cuda took: 1113
y using cuda took: 1112
y using cuda took: 1113
y using cuda took: 1113
y using cuda took: 1114
y using cuda took: 1113
y using cuda took: 1112
y using cuda took: 1114
y using cuda took: 1113
2048 10 10 1
y using cuda took: 2183
y using cuda took: 2182
y using cuda took: 2182
y using cuda took: 2181
y using cuda took: 2182
y using cuda took: 2182
y using cuda took: 2181
y using cuda took: 2184
y using cuda took: 2182
y using cuda took: 2190
y using cuda took: 2182
4096 10 10 1
y using cuda took: 4316
y using cuda took: 4316
y using cuda took: 4316
y using cuda took: 4317
y using cuda took: 4317
y using cuda took: 4320
y using cuda took: 4316
y using cuda took: 4317
y using cuda took: 4316
y using cuda took: 4318
y using cuda took: 4316
8192 10 10 1
y using cuda took: 13796
y using cuda took: 13756
y using cuda took: 13758
y using cuda took: 13737
y using cuda took: 13785
y using cuda took: 13800
y using cuda took: 13779
y using cuda took: 13789
y using cuda took: 13741
y using cuda took: 13746
y using cuda took: 13752
